Problem,Model,grader,[TEXT] Dangling Parens,[TEXT] Line too long,[TEXT] Using car cdr,[TEXT] Cond without square brackets,[TEXT] Uninformative local names,[DEFNS] let-expr not at topmost start,[DEFNS] Nesting let-exprs or defines,[DEFNS] Unnecessary let* or letrec exprs,[DEFNS] Unused or useless local vars,[DEFNS] Not defining helpers or local vars,[COND] Nested if-expr instead of cond,[COND] (if COND #t #f),[TRAV] iteration instead of recursion,anon_id
HumaneEval_122_add_elements,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-0.5,0.0,0.0,0,prog_0.rkt
HumaneEval_59_largest_prime_factor,tuned,grader_0,0.0,0.0,0.0,-0.5,-0.5,0,0,0,0,0.0,0.0,0.0,0,prog_1.rkt
HumaneEval_5_intersperse,tuned,grader_0,-0.5,0.0,-0.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_2.rkt
HumaneEval_27_flip_case,tuned,grader_0,0.0,0.0,-0.5,0.0,0.0,-1,0,0,0,0.0,-2.0,0.0,0,prog_3.rkt
HumaneEval_79_decimal_to_binary,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,0.0,0.0,0.0,0,prog_4.rkt
HumaneEval_4_mean_absolute_deviation,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_5.rkt
HumaneEval_53_add,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_6.rkt
HumaneEval_122_add_elements,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1.0,0.0,0.0,0,prog_7.rkt
HumaneEval_53_add,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_8.rkt
HumaneEval_22_filter_integers,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_9.rkt
HumaneEval_63_fibfib,base,grader_0,0.0,0.0,0.0,-0.5,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_10.rkt
HumaneEval_35_max_element,base,grader_0,0.0,0.0,-0.5,0.0,0.0,0,0,0,0,0.0,-2.0,0.0,0,prog_11.rkt
HumaneEval_79_decimal_to_binary,base,grader_0,0.0,-1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_12.rkt
HumaneEval_22_filter_integers,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_13.rkt
HumaneEval_13_greatest_common_divisor,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_14.rkt
HumaneEval_4_mean_absolute_deviation,base,grader_0,0.0,0.0,0.0,0.0,-0.5,0,0,0,0,0.0,0.0,0.0,0,prog_15.rkt
HumaneEval_28_concatenate,tuned,grader_0,0.0,0.0,-0.5,-0.5,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_16.rkt
HumaneEval_42_incr_list,base,grader_0,0.0,0.0,-0.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_17.rkt
HumaneEval_152_compare,base,grader_0,0.0,0.0,0.0,-0.5,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_18.rkt
HumaneEval_23_strlen,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_19.rkt
HumaneEval_51_remove_vowels,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,-3,prog_20.rkt
HumaneEval_157_right_angle_triangle,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_21.rkt
HumaneEval_66_digitSum,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1.0,0.0,0.0,0,prog_22.rkt
HumaneEval_157_right_angle_triangle,tuned,grader_0,-0.5,-1.0,0.0,0.0,0.0,0,0,0,0,-1.0,0.0,-1.0,0,prog_23.rkt
HumaneEval_66_digitSum,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_24.rkt
HumaneEval_8_sum_product,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,-1,0,0,-1,0.0,-2.0,0.0,-3,prog_25.rkt
HumaneEval_30_get_positive,base,grader_0,0.0,0.0,-0.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_26.rkt
HumaneEval_48_is_palindrome,base,grader_0,-0.5,0.0,0.0,0.0,0.0,0,0,0,0,-1.0,0.0,-0.5,0,prog_27.rkt
HumaneEval_7_filter_by_substring,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_28.rkt
HumaneEval_106_f,tuned,grader_0,0.0,0.0,0.0,0.0,-0.5,0,0,0,0,0.0,0.0,0.0,0,prog_29.rkt
HumaneEval_52_below_threshold,tuned,grader_0,0.0,0.0,-0.5,0.0,0.0,0,0,0,0,0.0,-2.0,0.0,0,prog_30.rkt
HumaneEval_106_f,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.5,0.0,0,prog_31.rkt
HumaneEval_13_greatest_common_divisor,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_32.rkt
HumaneEval_35_max_element,tuned,grader_0,-0.5,0.0,-0.5,0.0,0.0,0,0,0,0,0.0,-2.0,0.0,0,prog_33.rkt
HumaneEval_46_fib4,tuned,grader_0,0.0,-1.0,0.0,-0.5,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_34.rkt
HumaneEval_152_compare,tuned,grader_0,0.0,0.0,0.0,0.0,-0.5,0,0,0,0,0.0,0.0,0.0,0,prog_35.rkt
HumaneEval_72_will_it_fly,tuned,grader_0,-0.5,0.0,-0.5,-0.5,0.0,0,-2,0,0,0.0,0.0,-1.0,0,prog_36.rkt
HumaneEval_72_will_it_fly,base,grader_0,0.0,0.0,-0.5,0.0,0.0,0,-2,0,0,0.0,0.0,-1.0,0,prog_37.rkt
HumaneEval_48_is_palindrome,tuned,grader_0,-0.5,0.0,0.0,0.0,-0.5,0,0,0,0,0.0,0.0,-1.0,0,prog_38.rkt
HumaneEval_12_longest,tuned,grader_0,0.0,-0.5,0.0,0.0,0.0,-1,0,0,0,0.0,0.0,-0.5,-3,prog_39.rkt
HumaneEval_8_sum_product,base,grader_0,0.0,0.0,-0.5,0.0,0.0,-1,0,0,0,0.0,0.0,0.0,-3,prog_40.rkt
HumaneEval_7_filter_by_substring,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_41.rkt
HumaneEval_30_get_positive,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_42.rkt
HumaneEval_63_fibfib,tuned,grader_0,0.0,-0.5,0.0,-0.5,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_43.rkt
HumaneEval_27_flip_case,base,grader_0,0.0,-1.0,0.0,0.0,-0.5,0,0,0,-1,0.0,0.0,0.0,0,prog_44.rkt
HumaneEval_82_prime_length,base,grader_0,0.0,0.0,0.0,-0.5,0.0,0,0,0,-1,0.0,0.0,0.0,0,prog_45.rkt
HumaneEval_51_remove_vowels,base,grader_0,-0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_46.rkt
HumaneEval_42_incr_list,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_47.rkt
HumaneEval_55_fib,tuned,grader_0,0.0,0.0,0.0,-0.5,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_48.rkt
HumaneEval_12_longest,base,grader_0,0.0,-1.0,0.0,0.0,-0.5,-1,-2,0,0,0.0,-2.0,0.0,-3,prog_49.rkt
HumaneEval_45_triangle_area,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_50.rkt
HumaneEval_9_rolling_max,base,grader_0,0.0,0.0,-0.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_51.rkt
HumaneEval_153_Strongest_Extension,tuned,grader_0,0.0,0.0,-0.5,0.0,-0.5,0,0,-1,-1,0.0,0.0,0.0,0,prog_52.rkt
HumaneEval_21_rescale_to_unit,tuned,grader_0,-0.5,0.0,0.0,0.0,-0.5,0,0,0,0,0.0,0.0,0.0,0,prog_53.rkt
HumaneEval_153_Strongest_Extension,base,grader_0,0.0,0.0,-0.5,0.0,-0.5,-1,-2,0,0,-1.0,-2.0,0.0,0,prog_54.rkt
HumaneEval_23_strlen,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_55.rkt
HumaneEval_9_rolling_max,tuned,grader_0,0.0,-1.0,-0.5,0.0,-0.5,-1,-2,-1,-1,0.0,-2.0,0.0,0,prog_56.rkt
HumaneEval_82_prime_length,tuned,grader_0,-0.5,0.0,0.0,-0.5,-0.5,-1,-1,0,0,0.0,-2.0,-1.0,0,prog_57.rkt
HumaneEval_46_fib4,base,grader_0,0.0,0.0,0.0,-0.5,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_58.rkt
HumaneEval_60_sum_to_n,tuned,grader_0,-0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_59.rkt
HumaneEval_31_is_prime,tuned,grader_0,-0.5,0.0,0.0,-0.5,-0.5,-1,0,0,-1,0.0,-2.0,0.0,0,prog_60.rkt
HumaneEval_45_triangle_area,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_61.rkt
HumaneEval_60_sum_to_n,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_62.rkt
HumaneEval_21_rescale_to_unit,base,grader_0,0.0,0.0,-0.5,0.0,-0.5,0,0,0,0,0.0,0.0,0.0,0,prog_63.rkt
HumaneEval_28_concatenate,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_64.rkt
HumaneEval_55_fib,base,grader_0,0.0,0.0,0.0,-0.5,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_65.rkt
HumaneEval_5_intersperse,base,grader_0,0.0,0.0,-0.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_66.rkt
HumaneEval_31_is_prime,base,grader_0,0.0,0.0,0.0,0.0,-0.5,-1,0,0,0,0.0,0.0,0.0,0,prog_67.rkt
HumaneEval_59_largest_prime_factor,base,grader_0,0.0,0.0,0.0,-0.5,-0.5,0,0,0,0,0.0,0.0,0.0,0,prog_68.rkt
HumaneEval_52_below_threshold,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_69.rkt
